,Month,temperature,Normal_91-20,Hightest_91-20,Lowest_91-20,diff_temp-normal,diff_temp-month,diff_normal-month,hightest_23,lowest_23
0,Januari,0.5,-0.9,4.1,-11.2,-0.4,0.0,0.0,0.9,-11.2
1,Febuari,0.9,-1.0,4.3,10.8,-0.1,0.4,0.1,1.0,10.8
2,Mars,4.1,1.7,4.8,-6.5,2.4,3.2,0.7,6.5,-6.5
3,April,5.6,6.3,9.1,0.8,-0.7,1.5,4.6,6.3,0.8
4,Maj,11.5,11.4,16.1,5.7,0.1,5.9,5.1,11.6,5.7
5,Juni,18.1,15.7,19.3,10.4,2.4,6.6,4.3,20.5,10.4
6,Juli,18.4,18.6,22.5,13.7,-0.2,0.3,2.9,18.6,13.7
7,Augusti,19.8,17.7,21.2,12.9,2.1,1.4,-0.9,21.9,12.9
8,September,12.2,13.1,16.0,8.5,-0.9,-7.6,-4.6,13.1,8.5
9,Oktober,10.1,7.7,11.0,3.8,2.4,-2.1,-5.4,12.5,3.8
10,November,5.5,3.6,7.1,-1.8,1.9,-4.6,-4.1,7.4,-1.8
11,December,-1.4,0.6,4.9,-6.9,-2.0,-4.1,-3.0,0.6,-6.9
